"Site","Facies","Quad","Year","type"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
"Joulters","Seagrass","seagrass",1945,"polygon"
