"Site","Facies","Quad","Year","type"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
"Joulters","Hardground","vintage",1945,"polygon"
