TrackID	Scaling_Factor_km
Seagrass_1945_75	0.12329687
Seagrass_1945_84	0.1035
Seagrass_1945_103	0.134
Seagrass_1945_9	0.17590626
Seagrass_1945_23	0.18575
Sand_1945_61	0.011578125
Sand_1945_102	0.039203126
Sand_1945_43	0.05025
Sand_1945_26	0.12084375
Sand_1945_104	0.13225
Macroalgae_1945_12	0.14323437
Macroalgae_1945_8	0.19564062
Macroalgae_1945_6	0.15028125
Macroalgae_1945_4	0.3955
Macroalgae_1945_2	0.368
Microfilm_1945_33	0.09875
Microfilm_1945_10	0.15679687
Microfilm_1945_31	0.22503126
Microfilm_1945_19	0.2081875
Microfilm_1945_1	0.40325
Reef_1945_72	0.02075
Reef_1945_212	0.018375
Reef_1945_190	0.021
Reef_1945_242	0.02534375
Reef_1945_173	0.020734375
